Concurso	Data do Sorteio	Coluna1	Coluna2	Coluna3	Coluna4	Coluna5	Coluna6
1	11/03/96	4	5	30	33	41	52
2	18/03/96	9	37	39	41	43	49
3	25/03/96	10	11	29	30	36	47
4	01/04/96	1	5	6	27	42	59
5	08/04/96	1	2	6	16	19	46
6	15/04/96	7	13	19	22	40	47
7	22/04/96	3	5	20	21	38	56
8	29/04/96	4	17	37	38	47	53
9	06/05/96	8	43	54	55	56	60
10	13/05/96	4	18	21	25	38	57
11	20/05/96	15	25	37	38	58	59
12	27/05/96	4	16	19	20	27	43
13	03/06/96	18	32	47	50	54	56
14	10/06/96	2	16	23	27	47	53
15	17/06/96	12	33	35	51	52	60
16	24/06/96	20	32	34	49	58	60
17	01/07/96	6	10	13	19	20	51
18	08/07/96	23	27	36	37	42	56
19	15/07/96	5	10	12	24	25	60
20	22/07/96	11	25	28	30	33	51
21	29/07/96	6	33	36	46	49	53
22	05/08/96	1	9	31	38	46	56
23	12/08/96	17	37	39	51	52	59
24	19/08/96	1	8	14	28	33	43
25	25/08/96	24	43	50	54	55	56
26	01/09/96	10	22	50	53	57	58
27	08/09/96	13	17	20	33	44	51
28	15/09/96	3	6	22	24	54	60
29	22/09/96	3	8	14	43	56	58
30	29/09/96	7	14	15	29	38	50
31	06/10/96	17	19	28	45	48	56
32	13/10/96	5	14	33	36	43	44
33	20/10/96	5	17	33	39	42	49
34	27/10/96	13	15	17	40	53	57
35	03/11/96	4	16	21	23	54	57
36	10/11/96	3	13	17	25	29	51
37	17/11/96	6	7	22	38	52	60
38	24/11/96	10	42	43	45	54	55
39	01/12/96	12	16	37	45	52	56
40	08/12/96	3	5	8	12	46	47
41	15/12/96	12	26	35	38	39	47
42	22/12/96	7	11	19	24	33	36
43	29/12/96	2	6	17	25	26	58
44	05/01/97	14	18	29	38	44	47
45	12/01/97	7	30	37	44	53	55
46	19/01/97	1	23	24	32	46	60
47	26/01/97	3	17	25	35	48	56
48	02/02/97	2	5	28	34	47	50
49	09/02/97	7	13	33	35	43	55
50	16/02/97	6	16	21	44	57	58
51	23/02/97	17	23	24	25	42	47
52	02/03/97	15	30	38	46	58	59
53	09/03/97	3	13	16	38	42	46
54	16/03/97	5	9	18	21	36	56
55	23/03/97	2	14	23	29	38	52
56	30/03/97	2	7	20	35	51	59
57	06/04/97	7	16	17	27	34	59
58	13/04/97	12	27	30	37	44	49
59	20/04/97	2	8	13	28	34	54
60	27/04/97	3	14	15	20	21	38
61	04/05/97	8	18	29	42	44	59
62	11/05/97	6	8	13	24	31	52
63	18/05/97	9	25	26	40	41	49
64	25/05/97	8	12	23	50	54	60
65	01/06/97	1	5	20	25	32	34
66	08/06/97	12	13	15	26	33	48
67	15/06/97	12	14	17	27	47	52
68	22/06/97	1	3	12	13	53	59
69	29/06/97	25	34	45	53	56	58
70	06/07/97	17	23	27	40	43	58
71	13/07/97	16	27	33	43	45	53
72	20/07/97	1	19	34	43	44	48
73	27/07/97	25	26	28	45	51	57
74	03/08/97	2	24	34	37	38	50
75	10/08/97	21	24	35	36	37	49
76	17/08/97	8	17	18	23	33	53
77	24/08/97	21	29	40	49	54	57
78	31/08/97	12	22	25	31	32	46
79	07/09/97	2	13	17	25	31	43
80	14/09/97	23	28	37	40	48	51
81	21/09/97	10	23	41	47	54	60
82	28/09/97	15	18	29	36	51	53
83	05/10/97	4	15	16	24	42	57
84	12/10/97	4	6	10	25	34	40
85	19/10/97	6	15	30	37	45	47
86	26/10/97	6	21	22	34	36	54
87	02/11/97	4	5	11	28	32	40
88	09/11/97	4	18	29	37	43	45
89	16/11/97	13	34	42	44	55	59
90	23/11/97	9	21	26	40	52	54
91	30/11/97	2	4	10	35	39	60
92	07/12/97	1	3	5	23	24	51
93	14/12/97	2	22	28	31	36	53
94	21/12/97	8	18	28	51	52	55
95	28/12/97	6	40	45	46	50	60
96	04/01/98	4	7	26	40	42	58
97	11/01/98	5	11	14	35	53	56
98	18/01/98	13	14	31	33	35	43
99	25/01/98	11	24	30	33	46	60
100	01/02/98	14	29	30	46	48	51
101	08/02/98	1	18	29	31	37	39
102	15/02/98	19	20	37	42	44	56
103	22/02/98	1	7	9	49	54	57
104	01/03/98	1	4	13	21	38	52
105	08/03/98	3	13	31	43	46	49
106	15/03/98	5	16	24	35	38	39
107	22/03/98	2	4	16	24	51	52
108	29/03/98	21	24	29	34	59	60
109	04/04/98	1	13	44	48	49	54
110	11/04/98	18	31	43	52	57	58
111	18/04/98	4	22	25	32	33	52
112	25/04/98	12	20	34	37	42	43
113	02/05/98	7	26	28	34	54	55
114	09/05/98	6	12	18	37	47	54
115	16/05/98	4	6	14	20	24	38
116	23/05/98	5	13	32	36	42	51
117	30/05/98	20	25	27	33	42	53
118	06/06/98	9	22	25	37	56	57
119	13/06/98	1	21	36	38	47	50
120	20/06/98	3	16	27	40	45	46
121	27/06/98	2	29	41	44	53	55
122	04/07/98	11	17	20	39	43	53
123	11/07/98	13	14	16	26	32	42
124	18/07/98	5	15	34	41	52	57
125	25/07/98	25	41	47	53	56	59
126	01/08/98	6	10	11	28	32	40
127	08/08/98	21	29	50	51	54	59
128	15/08/98	3	9	18	21	23	43
129	22/08/98	1	9	10	32	46	54
130	29/08/98	13	29	38	42	49	53
131	05/09/98	4	9	17	27	30	44
132	12/09/98	7	9	35	41	44	50
133	19/09/98	5	6	19	34	39	57
134	26/09/98	4	25	32	36	52	60
135	03/10/98	21	22	35	40	53	59
136	10/10/98	1	17	25	38	45	59
